Rendering on GPU to off screen texture and reading bytes back to CPU. Measured from CPU pass submit to CPU read all bytes. 500ms pause between runs.
MacBook Pro (13-inch, M1, 2020)
Using WebGPU in Chrome Canary Version 106.0.5201.0

Rendering 0.4 to r32float:
128x128, 0.06mb, 3.30ms
256x256, 0.25mb, 3.60ms
384x384, 0.56mb, 5.20ms
512x512, 1.00mb, 3.40ms
640x640, 1.56mb, 4.00ms
768x768, 2.25mb, 5.40ms
896x896, 3.06mb, 5.10ms
1024x1024, 4.00mb, 5.60ms
1152x1152, 5.06mb, 6.70ms
1280x1280, 6.25mb, 6.60ms
1408x1408, 7.56mb, 5.80ms
1536x1536, 9.00mb, 8.30ms
1664x1664, 10.56mb, 8.40ms
1792x1792, 12.25mb, 11.20ms
1920x1920, 14.06mb, 9.40ms
2048x2048, 16.00mb, 10.40ms
2176x2176, 18.06mb, 21.10ms
2304x2304, 20.25mb, 19.30ms
2432x2432, 22.56mb, 21.60ms
2560x2560, 25.00mb, 33.80ms

White noise to r32float:
128x128, 0.06mb, 3.80ms
256x256, 0.25mb, 3.00ms
384x384, 0.56mb, 4.20ms
512x512, 1.00mb, 3.70ms
640x640, 1.56mb, 4.60ms
768x768, 2.25mb, 5.60ms
896x896, 3.06mb, 3.50ms
1024x1024, 4.00mb, 5.00ms
1152x1152, 5.06mb, 9.10ms
1280x1280, 6.25mb, 7.50ms
1408x1408, 7.56mb, 7.20ms
1536x1536, 9.00mb, 8.70ms
1664x1664, 10.56mb, 7.10ms
1792x1792, 12.25mb, 11.90ms
1920x1920, 14.06mb, 7.60ms
2048x2048, 16.00mb, 12.70ms
2176x2176, 18.06mb, 13.90ms
2304x2304, 20.25mb, 16.30ms
2432x2432, 22.56mb, 24.10ms
2560x2560, 25.00mb, 34.20ms


128x128, 0.06, 3.30
256x256, 0.25, 3.60
384x384, 0.56, 5.20
512x512, 1.00, 3.40
640x640, 1.56, 4.00
768x768, 2.25, 5.40
896x896, 3.06, 5.10
1024x1024, 4.00, 5.60
1152x1152, 5.06, 6.70
1280x1280, 6.25, 6.60
1408x1408, 7.56, 5.80
1536x1536, 9.00, 8.30
1664x1664, 10.56, 8.40
1792x1792, 12.25, 11.20
1920x1920, 14.06, 9.40
2048x2048, 16.00, 10.40
2176x2176, 18.06, 21.10
2304x2304, 20.25, 19.30
2432x2432, 22.56, 21.60
2560x2560, 25.00, 33.80
